stem,bad,H,W,covIoU,cut,drift_top,drift_bot,arc_ratio,kmax_mid,kmax_env,p_top,p_bot,q_top,q_bot
104,0,480,240,0.9603340292275574,1,0.00625,0.033333333333333326,0.9572719341875351,1.8261101304797966,2.557985331575217,True,True,False,False
105,0,480,240,0.9144050104384134,1,0.05,0.03541666666666665,0.8989418074618857,0.8307078464682477,1.4497952413658595,True,True,False,False
106,0,480,240,0.9561586638830897,1,0.016666666666666666,0.027083333333333348,0.9542726794609961,2.6032200629754776,2.7777831107153754,True,True,False,False
107,0,480,240,0.8430962343096234,1,0.010416666666666666,0.14583333333333337,1.1803062590030184,3.1046752574245278,3.5234170334940424,True,False,False,False
108,0,480,240,0.895615866388309,1,0.06875,0.03541666666666665,0.9137800892230716,2.8036630113912695,3.900646080456294,True,True,False,False
109,0,480,240,0.9144050104384134,1,0.04791666666666667,0.03749999999999998,0.9017211798711484,1.041600233993882,2.2379047793457856,True,True,False,False
110,0,480,240,0.9578947368421054,1,0.0125,0.029166666666666674,0.9545297993100339,0.5804581795877225,2.197747591243923,True,False,False,False
111,0,480,240,0.9492600422832981,1,0.0125,0.03749999999999998,0.9990704995948919,1.7549357733185815,2.6823842311012114,False,True,False,False
112,0,480,240,0.9401709401709403,1,0.022916666666666665,0.03541666666666665,0.9486932885549315,1.2708737290241308,1.5063323487386986,False,True,False,False
113,0,480,240,0.9498956158663884,1,0.0125,0.03749999999999998,0.953073930418603,0.9469579685051137,1.2280290130045994,True,True,False,False
114,0,480,240,0.9789029535864978,1,0.020833333333333336,0.0,1.0545871692317568,3.6779094590876933,3.8996118412191274,False,True,False,True
115,0,480,240,0.8369565217391304,0,0.05,0.10625000000000007,1.1679973435529654,2.2509212340118623,2.7239454987691643,False,False,False,False
116,0,480,240,0.803347280334728,1,0.03333333333333333,0.16249999999999998,1.1728115559684087,4.518255095274807,5.481023399897229,False,False,False,True
117,0,480,240,0.9123173277661795,1,0.05,0.03749999999999998,0.9009505683835667,1.3955019687876475,3.0389556994428055,True,True,False,False
118,0,480,240,0.9144050104384134,1,0.05,0.03541666666666665,0.9094443381424887,0.8140611307451724,1.7085019192502486,True,True,False,False
119,0,480,240,0.7306889352818372,1,0.23125,0.03749999999999998,0.7236518107588897,1.6300270271080517,2.8582567346122274,True,True,False,False
120,0,480,240,0.8427230046948356,0,0.049999999999999996,0.08958333333333335,1.0420612560425173,3.0164215677888513,3.6442318392002138,False,False,False,False
121,0,480,240,0.883089770354906,1,0.058333333333333334,0.05833333333333335,0.8798458957315899,1.7421770617793413,2.095535812961008,True,True,False,False
122,0,480,240,0.9123173277661795,1,0.05,0.03749999999999998,0.9317487582498211,0.30450653016344414,1.7533167363207558,True,True,False,False
123,0,480,240,0.8602150537634409,1,0.014583333333333334,0.12083333333333335,1.1124213139260717,1.6572738126409445,1.8322967929401903,True,False,False,False
124,0,480,240,0.9978991596638656,1,0.0,0.002083333333333326,0.975145097363884,2.8525417668775677,2.8732914398141505,True,False,True,False
125,0,480,240,0.9681528662420382,1,0.002083333333333333,0.029166666666666674,0.9734813133179903,3.713882140686126,3.8379132009663293,False,True,False,False
126,0,480,240,0.989561586638831,1,0.0,0.01041666666666663,0.9888100608312287,2.9623567168159375,3.1712357623216447,True,True,True,False
127,0,480,240,0.9457202505219207,1,0.008333333333333333,0.04583333333333339,0.9471521354607326,1.1255436030839177,2.0713513607995138,True,True,False,False
128,0,480,240,0.8617021276595745,1,0.008333333333333333,0.12708333333333333,1.14414678193927,3.017418467930366,3.5109660517227796,True,False,False,False
129,0,480,240,0.9498956158663884,1,0.0125,0.03749999999999998,0.9250296003691256,2.9916891246704393,4.520458965665531,True,True,False,False
130,0,480,240,0.8382978723404256,1,0.014583333333333334,0.14374999999999993,1.1648732368082158,4.649793869847994,4.974149685613663,True,False,False,False
131,0,480,240,0.8852097130242826,1,0.03333333333333333,0.07499999999999996,1.0401454561896601,1.4276352320554688,2.027008075423782,True,False,False,False
132,0,480,240,0.9144050104384134,1,0.04791666666666667,0.03749999999999998,0.913691771307447,1.2564540895520382,1.8035306501796227,True,True,False,False
133,0,480,240,0.8392484342379959,1,0.07083333333333333,0.08958333333333335,0.8375703395418439,1.3739834298529394,2.205845466617541,True,True,False,False
134,0,480,240,0.9519832985386222,1,0.0125,0.03541666666666665,0.9737289388528264,1.6659421789531812,2.4646526142455722,True,True,False,False
135,0,480,240,0.8650963597430407,1,0.025,0.10624999999999996,0.8563583704881795,1.347284878020747,1.972742168102417,False,True,False,False
136,0,480,240,0.8036951501154734,0,0.027083333333333334,0.15000000000000002,0.7942089483089079,1.6685958221082833,2.5745179937561744,False,False,False,False
137,0,480,240,0.7103448275862069,0,0.15416666666666667,0.10833333333333339,0.9270493225016442,1.5464661231369308,2.058893538515475,False,False,False,False
138,0,480,240,0.911062906724512,1,0.00625,0.07916666666666672,1.0768566129621668,4.3494770470171655,5.4184162093284485,True,False,False,False
139,0,480,240,0.8652631578947367,1,0.043750000000000004,0.08958333333333335,0.8645378350163859,2.5298237715176373,2.6535624959605695,False,True,False,False
140,0,480,240,0.9665970772442589,1,0.022916666666666665,0.01041666666666663,0.9618694951856469,0.8839338172484129,1.9047717687413728,True,True,False,False
141,0,480,240,0.836448598130841,1,0.08541666666666667,0.060416666666666674,0.9484698430838682,1.0750984500495344,2.2973578491786775,True,False,False,False
142,0,480,240,0.8670886075949368,1,0.008333333333333333,0.12291666666666667,1.1269464530519469,1.5966695032909246,1.6216913093914638,True,False,False,False
143,0,480,240,0.9498956158663884,1,0.0125,0.03749999999999998,0.9511850843978736,0.41008724903170546,1.2206406250967081,True,True,False,False
144,0,480,240,0.9478079331941545,1,0.027083333333333334,0.025000000000000022,0.9535900807722947,2.805569939190633,3.7356788630269584,True,True,False,False
145,0,480,240,0.95,1,0.010416666666666671,0.03749999999999998,0.9512381031299908,1.9474288924545045,2.1439737950739604,False,True,False,False
146,0,480,240,0.9728601252609603,1,0.00625,0.02083333333333337,0.9537194628683816,1.2889830474092463,1.6615400260038629,True,True,False,False
147,0,480,240,0.8427672955974842,1,0.01875,0.13750000000000007,1.1361635999765258,2.8390356247154513,2.980771836505494,True,False,False,False
148,0,480,240,0.8893905191873588,1,0.05,0.05208333333333337,0.9785266073673944,1.9774068581411726,3.6225778602298466,True,False,False,False
149,0,480,240,0.9638297872340426,1,0.002083333333333333,0.033333333333333326,0.978066844372535,2.1402994567213995,3.7225059162515044,False,True,False,False
